190,617403344,740416,186252,3
191,620402040,457428,225288,1
192,623399888,924612,199560,1
193,626399488,874012,269192,3
194,629397640,724388,231048,1
195,632396448,807524,220560,1
196,635411344,857876,268680,1
197,638410040,574652,382880,2
198,641392112,758004,204552,1
199,644407184,574532,412936,2
200,647406424,691020,244744,2
201,650388912,907388,204808,3
202,653387488,540556,316168,2
203,656386240,674276,196616,1
204,659385056,773668,252304,1
205,662399824,624532,252168,2
206,665398696,673804,211336,3
